CAH3,Cre09.g415700,75.1,41.32,23.7,32.58,41.45,46.53,58.31,65.51,687.65,400.17,215.15,145.07,47.47,17.97,71.09,74.54
Cre02.g142146,Cre02.g142146,18.66,7.57,23,34.23,39.8,32.76,40.43,39.42,543.07,388.35,86.47,81.47,46.6,28.74,26.16,7.81
Cre02.g093750,Cre02.g093750,1.39,0.85,0.7,0.63,0.51,0.49,0.49,0.58,15.61,14.34,1.57,4.1,3.7,1.63,1.36,0.99
LCID,Cre04.g222800,0.35,0.2,0.5,0.89,1.54,3.35,4.96,10.23,159.33,97.12,64.56,76.35,62.17,35.92,6.76,0.3
CEM1,Cre06.g260250,3.31,2.55,3.06,3.65,3.82,3.65,4.42,4.17,51.41,32.77,23.71,19.27,15.55,10.48,9.94,1.58
LCIA,Cre06.g309000,0.74,0.34,0.37,0.49,1.06,5.19,9.44,21.05,668.4,343.57,327.82,433.56,367.58,157.95,12.36,0.5
LCI9,Cre09.g394473,5.85,0.23,0.17,0.33,0.48,1.58,3.08,3.88,132.43,100.12,47.93,67.38,49.48,20.42,5.47,2.28
HCF136,Cre06.g273700,34.32,25.18,40.46,46.2,44.56,41.88,46.42,46.09,339.36,342.13,150.97,140.28,67.53,45.13,41.41,23.3
CMP1,Cre08.g358580,24.09,27.76,53,67.14,61.46,39.68,48.61,44.95,141,147.17,73.03,65.58,37.65,20.07,14.33,18.8
TEF9,Cre12.g519300,19.6,5.08,5.46,6.37,8.18,7.29,8.42,8.28,171.36,199.19,119.11,95.21,53,23.08,17.77,7.94
Cre19.g750547,Cre19.g750547,13.56,11.63,9.16,8.52,8.58,6.33,8.52,8.67,30.56,37.23,22.05,17.38,13.41,9.75,10.18,11.03
DEG11,Cre12.g498500,3.38,1.12,2.82,2.68,2.43,1.69,1.93,2.44,10.07,24.15,5.1,7.87,8.12,3.44,2.85,1.79
CPLD12,Cre17.g739550,1.17,0.11,0.44,1.56,2.59,1.9,2.2,2.66,15.02,12.96,11.75,10.86,6.87,2.64,1.1,0.5
HLA3,Cre02.g097800,1.25,1,0.86,0.94,0.88,1.54,3.67,7.22,270.07,201.06,177.26,229.98,240.18,118.11,15.5,1.35
LCIE,Cre04.g223250,0.07,0.04,0.03,0.07,0.07,0.12,0.09,0.2,28.35,18.71,23.99,28.42,16.97,6.23,0.43,0.04
(LCR1),Cre09.g399552,0.64,0.81,2.14,4.83,7.71,11.69,15.69,21.15,29.39,18.28,28.9,31.11,26.75,15.05,6.06,0.56
SMM7,Cre03.g151650,0.06,0.03,0.07,0.07,0.52,0.76,1.39,1.92,10.4,6.65,9.67,11.1,6.68,1.14,0.12,0.03
Cre13.g573250,Cre13.g573250,7.03,3.24,5.45,9.75,15.05,15.37,23.65,24.61,40.05,31.27,45.07,46.54,20.61,10.42,9.87,4.32
LCI1,Cre03.g162800,4.6,1.65,1.4,1.83,1.57,3.77,6.84,16.24,1462.42,1567.53,1792.8,2170.5,1706.19,593.82,40.37,2.13
PSBP3,Cre12.g509050,23.98,11.8,25.76,32.68,33.23,26.17,28.35,26.84,135.11,138.68,170.49,151.17,84.98,48.98,38.46,12.49
CGL59,Cre06.g280650,11.4,7.67,14.92,18.78,24,20.94,26.63,26.8,54.45,54.01,71.24,57.43,26.8,14.92,13.02,5.67
Cre01.g014000,Cre01.g014000,33.52,9.92,17.5,24.42,26.31,26.04,29.99,29.34,104.26,125.22,192.98,160.62,74.63,39.31,31.39,15.21
CGL71,Cre12.g524300,5.68,1.71,3.08,4.8,6.89,5.46,7.07,7.24,19.1,19.59,33.6,27.27,14.53,6.83,6.23,1.98
HDS1,Cre12.g490350,10.49,4.64,7.13,11.01,14.53,10.75,18.02,17.36,32.67,26.06,53.54,38.24,15.43,7.83,9.53,6.68
CARB1,Cre08.g359350,19.84,21.11,38.49,58.21,72.04,68.23,79.54,75.49,98.48,72.04,197.5,158.23,69.13,28.74,24.16,26.76
Cre11.g475850,Cre11.g475850,24.21,12.78,14.63,15.53,15.2,11.76,13.81,14.39,49.52,69.33,108.67,82,59.16,44.72,28.33,13.4
Cre09.g386200,Cre09.g386200,10.39,13.14,12.2,11.47,9.71,7.49,8.51,7.81,7.83,12.97,21.85,18.63,11.94,10.49,8.56,9.99
FAP224,Cre06.g298350,102.22,86.31,68.96,52.52,47.18,31.33,33.88,31.84,67.87,98.66,161.88,133.56,137.7,148.53,131.89,108.54
CCP1,Cre04.g223300,1.85,0.74,0.59,0.73,0.53,0.99,1.36,2.61,427.69,523.14,950.59,1118.95,633.76,258.03,30.68,0.97
CAH4,Cre05.g248400,3.38,1.02,1.12,2.07,2.93,3.75,4.76,6.71,519.33,1062.67,2357.17,2170.44,1128.68,287.9,20.21,4.61
CAH5,Cre05.g248450,3.17,0.81,0.83,1.62,1.91,2.43,2.48,4.38,418.39,856.57,1923.53,1710.87,915.51,257.53,18.46,6.89
CAH2,Cre04.g223050,10.01,8.93,12.04,14.08,15.45,13.72,15.36,15.5,6.29,5.41,33.14,27.18,16.99,10.2,6.19,9.47
Cre07.g328200,Cre07.g328200,13.7,4.98,9.57,11.49,12.29,11.67,12.63,11.31,25.23,33.53,78.35,54.27,22.56,12.88,13.13,4.37
PSBP4,Cre08.g362900,1.98,1.98,2.34,2.24,2.07,1.36,1.71,1.4,4.68,6.52,13.62,12.71,6.65,4.4,4.39,0.99
THIC,Cre05.g240850,30.95,27.43,31.29,27.52,16.61,10.9,12.28,10.62,7.15,10.85,89.49,67.73,36.59,40.52,50.71,35.86
(CRT2),Cre01.g038400,97.6,7.16,5.84,3.7,2.21,2.5,3.31,2.7,29.5,48.9,470.94,436.62,333.56,262.4,189.21,21.25
Cre06.g273050,Cre06.g273050,2.02,1.66,2.18,1.87,1.64,2.15,2.43,2.02,0.81,1.16,19.32,18.81,12.3,8.54,3.27,1.55
Cre10.g429100,Cre10.g429100,11.23,9.6,8,7.27,5,5,5.12,4.04,11.06,14.63,39.8,32.38,25.26,26.65,20.05,12.32
CAH1,Cre04.g223100,12.34,6.38,12.87,31.59,66.01,116.45,160.77,199.44,312.91,233.03,765.54,792.58,480.76,116.13,19.71,15.47
STA6,Cre03.g188250,51.61,41.81,69.55,99.68,121.57,123.58,148.77,139.15,109.35,32.17,129.99,209.55,155.66,86.85,51,36.86
STA1,Cre13.g567950,54.8,50.56,66.73,83.51,85.48,70.42,74.35,76.95,88.13,42.02,131.63,187.99,136.63,71.15,49.42,35.58
Cre02.g111450,Cre02.g111450,2.75,0.15,0.1,0.05,0.17,0.44,0.6,0.56,1.71,1.21,40.58,94.91,74.54,29.07,4.4,0.41
TRXf2,Cre05.g243050,17.64,7.6,12.77,14.95,17.13,12.82,16.42,16.73,7.54,2.78,48.42,59.15,44.02,26.48,17.62,15.17
PSAH,Cre07.g330250,517.61,149.73,120.95,164.13,206.26,215.1,254.28,266.56,491.51,317.49,1236.77,1556.88,1310.5,912.07,662.13,545.58
PSAK,Cre17.g724300,900.03,435.32,286.53,364.58,441.64,400.52,487.72,472.27,794.17,519.32,1867.79,2245.15,1910.8,1417.3,1070.16,1077.83
CAG2,Cre06.g293850,44.57,50.78,50.8,48.65,40.94,30.83,35.58,35.27,43.8,45.25,53.24,62.56,58.71,51.87,45.79,55.08
(PDI5),Cre02.g104350,10.33,6.84,5.87,5.87,6.31,7.03,7.45,7.84,4.65,2.76,16.52,22.96,27.03,27.13,19.26,13.81
Cre03.g156750,Cre03.g156750,23.71,19.23,18.07,18.61,16.94,10.53,11.93,13.79,13.95,7.22,22.46,28.76,47.47,45,40.1,24.8
CAG3,Cre09.g415850,95.13,106.01,91.2,79.84,70.82,67.33,77.83,72.48,78.11,64.6,114.13,113.33,105.42,100.3,101.14,119.94
FTT2,Cre06.g257500,448.97,497.4,467.5,404.93,345.11,259.25,296.6,277.38,394.24,291.43,333.21,281.8,274.9,331.92,479.37,560.71
CAG1,Cre12.g516450,19.26,21.93,21.54,18.76,18.13,9.99,12.22,13.26,9.93,9.92,13.35,17.65,18.94,15.42,16.44,26.78
"(RPD1, POC7)",Cre07.g356400,36.88,53.03,50.36,44.88,35.69,20.13,23.76,23.52,15.35,3.75,29.34,43.6,31.21,29.3,29.11,55.9
CSK6,Cre14.g619166,15.89,17.96,13.37,11.75,11.78,6.87,10.66,11.59,2.58,2.15,8.76,11.87,13.99,10.93,9.38,18.14
Cre08.g360600,Cre08.g360600,12.63,14.5,9.62,8.47,6.15,5.17,6.95,6.21,2.01,1,5.58,9.33,10.94,10,8.77,17.35
PFK2,Cre12.g553250,56.29,60.93,31.41,19.44,12.66,9.72,10.71,10.19,7.23,1.27,15.79,36.44,46.74,50.7,56.01,73.38
PFK1,Cre06.g262900,66.56,79.31,43.89,29.38,19.59,13.98,15.98,14.39,10.24,6.98,24.51,34.77,36.04,37.87,54.53,99.6
(PMH1),Cre03.g164600,65.96,69.1,48.34,56.55,51.13,34.45,55.13,57.97,1.35,0.98,1,2.08,6.48,11.94,26.74,78.01
CAH6,Cre12.g485050,101.86,74.61,73.69,69.87,67.84,63.9,77.51,83.26,21.97,20.88,11.81,11.04,8.48,9.98,20.13,80.77
CAH7,Cre13.g607350,16.89,17.54,15.63,13.88,11.55,8.96,10.35,8.5,1.54,0.13,0.29,2.19,4.4,6.39,4.41,15.8
Cre03.g144564,Cre03.g144564,20.31,43.89,25.9,19.86,13.87,9.33,12.06,12.27,7.42,2.69,1.32,1.77,1.42,0.64,2.57,31.21
FAP12 (TGL4),Cre09.g390615,153.58,223.9,166.44,130.65,103.25,75.35,89.81,95.51,88.87,13.35,1.8,1.96,1.74,1.88,18.98,204.58
Cre01.g054850,Cre01.g054850,30.26,38.11,29.47,25.86,23.95,15.58,16.31,16.94,16.04,16.59,25.15,21.11,14.58,11.63,17.25,27.15
AHD1,Cre18.g749447,19.27,26.8,25.37,24.34,19.76,15.62,17.95,17.84,16.41,17.94,23.68,19.6,15.36,13.24,12.33,19.5
Cre17.g700750,Cre17.g700750,1034.92,3324.08,3879.79,3797.99,3583.02,2444.53,2782.8,2504.26,521.41,182.42,208.6,481.03,714.51,788.16,458.15,1873.56
GFY5,Cre17.g702950,405.84,948.43,1013.42,953.65,956.88,665.32,847.29,924.72,755.55,318.39,180.09,355.67,457.21,388.8,223.56,537.58
Cre01.g054700,Cre01.g054700,4.17,7.73,8.26,6.77,6.11,4.93,4.95,4.57,2.32,0.71,3.33,4.67,3.74,4.42,4.22,5.3
RHP2,Cre06.g284150,0.96,2.22,3.49,3.75,3.59,3.59,4.91,4.39,0.37,0.73,0.69,0.58,0.52,0.5,0.32,1.56
STA3,Cre06.g282000,2.44,2.99,4.95,8.17,10.68,8.94,13.96,14,12.34,2.41,7.21,12.18,10.27,4.36,2.94,2.42
Cre03.g176833,Cre03.g176833,3.89,0.8,0.59,0.76,0.63,0.69,0.8,5.45,3.55,1.96,0.41,0.5,0.52,0.43,0.6,0.98
Cre05.g232750,Cre05.g232750,3.92,3.35,3.52,4.05,4.31,2.52,3.9,4.55,4.5,2.27,2.68,3.15,3.51,2.46,3.13,3.25
CAH8,Cre09.g405750,4.99,2.59,3.88,5.14,5.85,3.68,5.46,5.32,6.98,2.11,1.25,1.18,1.67,2.41,3.79,3.64
CPN60B1,Cre17.g741450,7.17,9.24,12.29,13.41,13.99,7.31,11.99,12.18,16.7,15.47,15.37,7.76,2.31,3.23,6.04,4.75
Cre06.g266900,Cre06.g266900,0.17,0.03,0,0.01,0.07,0.09,0.15,0.09,9.09,3.92,1.49,1.36,1.47,0.65,0.38,0.03
Cre02.g086850,Cre02.g086850,1.98,3.08,2.98,2.88,4,2.26,3.22,3.71,9.33,6.79,7.32,6.39,4.88,2.41,2.74,2.12
DPE2,Cre02.g095126,3.21,3.08,2.61,2.65,2.7,1.78,2.37,2.74,4.42,2.87,2.2,3.42,4.38,3.49,3.45,2.73
Cre12.g524500,Cre12.g524500,0.42,0.07,0.42,0.87,1.93,1.37,2.31,2.55,4.41,3.52,4.35,4.3,2.15,0.67,0.69,0.22
Cre02.g088950,Cre02.g088950,3.18,3.24,2.9,2.47,2.18,1.93,2.12,2.04,9.57,9.25,6.24,5.95,6.43,5.26,4.54,2.62
Cre03.g145907,Cre03.g145907,0.56,1.1,0.99,1.3,1.21,0.69,0.91,0.89,1.21,1.52,0.84,0.58,0.63,0.64,0.96,0.73
CIA6,Cre10.g437829,1.16,2.12,2.51,2.16,1.83,1.87,1.78,1.47,1.19,2.5,2.22,1.8,2.1,2.37,2.22,1.41
Cre08.g378750,Cre08.g378750,3.35,4.31,3.88,3.77,3.33,2.68,2.84,2.55,2.57,5.27,5.56,4.16,3.1,2.83,3.22,3.19
Cre13.g587100,Cre13.g587100,6.11,9.42,8.65,8.65,8.13,5.56,6.44,6.41,9.33,13.39,13.93,9.69,6.84,6.77,7.04,5.59
TAT3,Cre03.g145887,7.73,8.26,8.44,8.5,7.82,6.81,8.58,8.68,5.98,6.87,14.31,13.66,9.84,8.95,7.73,9.16
Cre15.g635067,Cre15.g635067,2.18,1.19,1.79,2.1,1.5,0.76,0.94,0.78,0.97,1.56,5.53,5.24,5.09,3.52,1.68,0.69
CGL13,Cre01.g022600,2.67,2,3.58,4.19,4.7,5.05,5.77,5.5,7.88,4.31,13.77,14.2,12.2,10.67,6.99,1.89
TGL18,Cre12.g530950,5.38,7.71,9.12,8.26,8.2,7.51,7.63,6.49,9.47,9.1,11.95,12.54,9.15,6.14,4.87,5.88
Cre16.g684750,Cre16.g684750,0.63,2.13,3.86,3.53,3.39,2.22,2.55,2.39,2.64,2.22,3.77,4.49,3.17,2.4,1.14,1.03
MME5,Cre01.g022500,2.53,3.37,3.43,2.88,2.51,2.06,2.11,1.73,1.92,1.35,4.86,5.07,2.45,3.05,2.03,2.05
Cre16.g663150,Cre16.g663150,2.34,3.64,4.31,4.11,3.46,2.41,2.34,2.4,0.92,1.79,4.94,5.66,3.74,3.83,2.7,2.19
Cre05.g230850,Cre05.g230850,2.33,2.64,2.02,1.49,0.98,0.65,0.61,0.55,0.93,1.28,2.52,4.83,4.85,3.31,1.92,1.83
SBE1,Cre06.g289850,1.3,0.6,0.62,0.54,0.48,0.82,0.99,1.01,0.44,0.4,2.86,5.03,5.13,4.05,3.03,1.12
SBE4,Cre08.g373450,1.84,0.78,1.1,2.11,3.91,5.2,6.39,6.3,3.41,0.81,3.16,8.69,9.84,6.85,4.38,1.57
Cre03.g168450,Cre03.g168450,2.67,1.58,1.52,2.02,2.22,0.8,1.63,1.99,3.46,1.67,3.2,4.13,7.64,7.5,6.59,1.92
LCI20,Cre13.g592400,4.99,4.39,4.38,3.63,3.19,2.68,2.84,2.59,1.24,2.31,4.77,5.41,6.16,9.04,8.88,4.81
KIN4-2,Cre03.g202000,2.67,1.6,1.94,2.52,2.96,2.62,3.25,3.65,1.84,0.77,0.92,1.28,1.53,4.27,7.14,2.97
(DLD1),Cre18.g749847,3.81,3.88,2.68,2.62,2.45,1.07,1.62,1.72,1.24,0.88,2.71,3.37,3.28,2.72,3.01,3.84
