,Genes,dark11,dark11.1,dark11.2,dark9,dark9.1,dark9.2,dark7,dark7.1,dark7.2,dark5,dark5.1,dark5.2,dark3,dark3.1,dark3.2,dark1,dark1.1,dark1.2,dark0.5,dark0.5.1,dark0.5.2,X0,X0.1,X0.2,light0.5,light0.5.1,light0.5.2,light1,light1.1,light1.2,light3,light3.1,light3.2,light5,light5.1,light5.2,light7,light7.1,light7.2,light9,light9.1,light9.2,light11,light11.1,light11.2,light13,light13.1,light13.2
48,Cre05.g236650,5.182248509,5.054935125,2.563288029,4.772573038,2.644598006,2.75301085,1.799729641,3.14419101,3.835804211,10.61989033,7.251066867,13.68133222,43.51655295,23.7838936,35.66343881,55.40290436,179.4242275,74.85911032,48.93755876,223.232095,94.39689493,79.30622551,265.4994834,119.2474437,436.8523514,1188.494434,839.7055609,226.3879863,342.1123121,401.4683066,93.65717269,159.7508466,123.1656139,95.72157918,164.7746309,150.0473844,107.9799608,99.20120542,107.0364335,93.66864402,102.059246,102.2214174,39.51578112,20.23628846,96.93199834,4.264134862,4.131526678,4.8532048
49,Cre05.g240850,1495.393093,1411.944069,796.67723,947.7785049,1506.645214,897.5920711,959.7280143,1632.920087,1170.722191,925.3457235,1221.320336,1109.411283,652.7782553,799.9617596,708.5282431,686.2393645,314.2940676,577.4227834,574.5612118,358.4690303,582.7357604,559.2643512,274.0414422,548.3723383,420.9938887,252.9915786,277.806048,665.5089469,275.2922812,605.4015272,5032.289801,3008.014253,2894.779987,2811.545681,2794.240938,2069.08942,1501.932484,1545.72068,1269.76386,1885.405651,1513.943238,1331.192318,2714.817911,1553.932652,1388.526488,1162.701986,1660.362806,1190.260229
50,Cre05.g243050,385.2828446,334.2341787,342.4271241,122.9247946,193.7268018,125.8997002,203.4567995,353.1180773,186.4507607,256.5205217,365.3100485,231.5605766,321.9243959,427.3526439,249.0496149,344.4372953,269.2313268,250.8080806,421.3517584,249.7765012,259.8236797,407.0407536,286.7235345,274.831068,156.4253828,152.3782532,108.481271,87.64648798,28.7590979,64.44304864,1059.860344,1012.927794,996.5927105,1339.953377,1139.640796,1032.401277,1001.960352,902.8986978,781.516839,524.4498443,593.7047734,475.9498004,369.7787306,312.9879026,341.9496628,245.797358,345.4331163,262.8695089
51,Cre05.g248400,17.02487913,69.77830172,68.48981398,5.674256279,7.866926284,30.95749202,10.92958234,18.14073514,21.32772482,19.90879629,29.69184426,46.33117438,44.81341079,44.65319075,45.58098705,49.73503495,73.44249537,72.80203732,59.95633007,91.83345216,60.45843993,61.14228671,147.3774863,104.1321985,7524.635364,8325.573932,7687.931265,11929.51477,23237.92003,24351.33332,17120.69553,48588.54022,55937.33742,21493.37216,41844.96839,43422.88864,12396.61139,19376.83152,25401.998,2312.088413,7530.239115,4728.291545,85.51664696,243.0008667,669.1999747,78.71280369,31.06850063,123.3478189
52,Cre05.g248450,20.84949822,61.271808,67.23676494,6.580637886,8.834957034,22.47692847,6.284334958,14.97484698,20.78724919,16.41021951,26.46432823,36.08658036,35.00947683,34.31349194,38.18061948,43.08373597,49.61146136,55.61032578,34.71118131,51.14970008,47.42775566,44.8641394,111.0326032,84.01537547,6801.011385,7284.642213,6438.806072,10592.72185,21064.54524,20392.83441,16535.88072,43110.21675,47632.66298,19028.03228,36776.59788,36035.09939,11226.40009,17187.63603,21804.28028,2224.199052,7137.752066,4292.544629,83.6321973,243.9537668,626.6974014,104.2512107,44.47896466,166.0386721
53,Cre06.g253350,2545.969756,1583.348327,3301.784915,2402.401317,2567.51544,2429.146892,2326.302031,1809.965189,1267.086124,1802.074507,2096.835973,1156.40531,2028.417086,1993.268087,1306.480491,1834.487054,1706.797422,1665.559688,2149.275245,1826.213036,1413.921382,1895.901944,1869.096167,1204.178055,2535.974931,1454.785064,2916.187827,2089.282686,966.4327459,2756.447067,4014.558438,2725.761865,7258.85163,3324.409752,2285.654141,5126.146525,2061.210766,1610.208827,3635.647903,1909.528542,1248.686177,1915.128643,2741.180377,1118.679972,2175.248694,3897.266077,3289.939931,2784.095191
54,Cre06.g257500,9346.327925,7659.98012,14377.73216,11391.42439,12388.84446,10011.18265,13167.15318,9800.586231,8496.28062,10061.15553,9929.616743,6998.35063,9605.67152,7607.253397,6380.948918,7052.896457,6197.101282,6846.265986,8552.966268,5822.426437,5421.640648,7531.753516,6463.910449,4816.989521,7843.621961,6359.351705,11197.20718,6664.719695,4748.618697,10871.97332,7950.555437,5068.222888,11491.38608,5699.153727,4708.453448,9209.294131,5016.398368,5135.516081,9576.558648,7809.866114,6767.734685,8904.524721,11858.09619,8578.824682,12231.1687,14851.15935,11410.63138,10771.7858
55,Cre06.g260250,126.9168062,37.04519234,52.44121243,47.11011073,66.47317074,43.44978247,81.25466695,58.06506712,46.85467631,76.71503911,84.59647116,57.47162948,91.50373129,76.39789752,71.9503987,72.68479979,101.8815801,87.98059198,114.6173284,89.85236549,66.11312424,94.8199543,99.28312246,67.20679517,1002.21959,912.3676027,1092.997523,695.8047016,594.5829854,1032.543299,461.8887063,408.4784688,720.4314423,341.9901205,310.8630236,581.3911503,320.9906645,271.8807498,427.2801264,239.5457574,199.1191013,242.1203036,225.4699075,147.0315158,248.0832402,31.91888154,46.3227564,18.35773454
56,Cre06.g262900,2110.465776,1698.120438,2386.432816,2379.239368,2363.30281,2275.346594,1438.102641,1204.39497,1230.103318,906.7633561,925.0589677,741.3440293,597.5334642,581.5774045,591.7076799,580.1354583,344.4403306,507.6493191,609.9799529,382.4621886,437.766226,556.4201205,348.6069494,399.3259316,338.68488,207.5104763,378.7936763,290.3893113,114.3952652,330.4255831,534.6249291,802.1642837,1055.216292,1092.574012,932.5872502,1180.189469,1071.94962,966.8626551,1392.551199,1346.442845,1031.673138,1149.326948,2022.374409,1246.436679,1653.419629,3069.782516,2850.594552,2721.070081
57,Cre06.g266900,4.249067647,10.22415842,6.132662564,1.510586396,0.851313642,2.81187801,3.725452593,1.468420347,2.206140954,2.798904163,3.326815137,2.593368314,2.400033432,2.551732346,3.345017515,4.181129349,6.420318949,4.049751975,5.716050399,4.195587925,4.973240658,3.804924281,3.45909879,8.034803874,213.3811639,278.0556668,223.9338095,122.2342522,137.0759751,119.2615689,41.86017925,62.64354025,33.97079896,40.7308903,51.96560217,32.67423198,35.95600107,53.2623303,42.9443451,14.4442326,21.1094672,22.48816768,13.19764714,13.98268731,12.84512694,2.147378173,2.073403372,3.893815986
58,Cre06.g271850,47.76905355,28.27283218,22.16868912,76.80111323,71.60837157,73.17823194,103.1933796,74.24399982,121.3704896,147.208849,124.0357743,113.0434328,164.5916525,148.451463,199.1440097,181.2465608,229.4433009,199.2223122,265.4850244,275.7812892,221.6535666,236.5087508,247.0786958,207.3108784,446.7162884,647.0315935,514.6324362,397.7044512,405.7314793,364.214723,102.7585855,116.9080414,108.6127676,78.00313657,102.8509098,74.99521071,55.43527818,56.44274433,62.61227128,29.9168793,35.10251456,34.98789511,40.66202125,15.64874148,37.56905654,26.59697398,27.83976396,25.21126768
59,Cre06.g273050,66.35394035,33.90662245,49.61481716,27.38458693,76.74865419,22.95023105,44.12940723,67.29807721,44.02471775,43.18658201,57.43131228,33.43438165,32.35777814,56.22836214,32.08257729,70.50981086,56.55548771,58.65876632,64.27770182,55.39356228,56.44293926,55.5758446,45.98600245,44.14398982,22.01440482,16.09932689,1.509729462,58.61612664,14.65342151,29.49902043,490.6859006,458.0186119,591.952068,444.1115989,433.1949885,534.2374758,350.2129397,283.9795609,321.238036,187.3317056,232.2257809,228.6631273,46.03835003,102.6419407,90.93548389,40.38335575,49.43261461,20.29179891
60,Cre06.g273700,1201.17305,581.2795764,699.530837,541.7036893,861.9861679,363.8413725,991.2772044,1102.728755,685.09743,1076.930968,1411.169522,662.6147475,1171.642341,1205.535538,727.1482966,1220.814527,1090.053474,1030.488636,1209.070665,1059.375929,905.4887576,1297.494921,1097.842389,820.2865057,9081.964059,7387.319807,5934.300057,9698.367994,8299.394198,9298.624977,4633.984621,3106.234849,3835.321571,4027.166236,2526.637709,3447.712888,1847.277539,1407.618045,1718.856684,1330.048325,891.3567291,1059.664878,1162.148577,888.7716279,842.0133214,499.9717402,842.4026019,237.5315716
61,Cre06.g280650,348.297946,153.3376343,169.8117519,124.4919562,217.1686856,101.7151345,268.9563723,355.9201937,219.5502528,372.5801789,403.1326668,279.5275129,512.9519705,509.5899354,349.3437196,440.7418793,467.9048163,458.1036285,481.7042099,586.0308764,432.6974067,519.9229094,563.1780774,455.2244549,1098.277663,1090.825378,747.9993756,1525.24598,1006.555789,989.6426293,1736.901045,1466.426341,1268.768185,1312.001239,1134.62067,892.9825415,703.3739853,543.4354473,386.6400615,364.197964,303.7755936,222.1010204,308.554981,266.5012939,171.9312614,96.84080289,173.0805015,44.4978386
62,Cre06.g282000,136.2595577,256.3474643,162.3465354,206.8537744,230.1892089,221.4224657,326.9611082,349.8198995,398.3083292,456.96274,538.4429097,753.4266959,610.9814158,629.4402931,1126.994379,620.2724262,726.9589568,865.6247428,885.2738679,995.6434255,1081.210053,922.0276845,926.8460737,1202.042603,590.481132,1308.046595,629.3384215,198.3587967,272.5588514,153.0978904,390.5028481,867.8447232,476.9443904,1015.71338,1076.35562,642.6940275,655.5856334,1056.569979,664.5755284,182.4125414,425.0463444,390.1566389,146.0368643,234.8358186,265.8765028,137.3248429,157.8143579,212.5168147
63,Cre06.g284100,1142.982143,459.1357091,625.7432323,1093.615296,1538.781215,1045.858002,1370.754332,1559.40143,1234.458168,1388.880358,1770.832502,1186.815956,1443.593794,1745.041234,1329.085845,1614.065073,1513.811448,1513.867796,1640.275887,1552.500743,1506.43376,1620.083504,1683.077604,1527.976214,1034.362483,508.5352523,689.089029,1902.67755,1138.979953,1783.327816,2423.902388,1025.377197,1218.6379,1587.218958,1003.771364,993.1359854,1529.270475,837.5302831,908.7453734,1386.115676,919.5594141,775.2584042,588.5472523,697.9357038,517.850999,609.5958383,1078.611954,482.0396908
64,Cre06.g284150,174.0915887,88.14978492,131.8622292,229.3497276,286.7461221,208.3555549,337.2048541,299.4338801,316.1654833,370.4495884,346.6156469,332.6950288,359.5670798,319.4847553,348.0819907,334.6601379,425.5653876,378.2146092,366.8594115,471.1240723,402.9548168,334.1057206,453.4636117,385.4755053,143.48273,70.82950105,87.2232305,247.5614159,180.1057584,238.9536058,338.7262745,147.0371936,159.1648721,211.0549311,135.4783289,127.0178439,219.9406641,122.9612448,127.7741368,205.8543173,119.5846849,111.857028,83.92883188,103.5259237,71.14034542,144.7131784,208.2379614,120.228103
65,Cre06.g288700,671.4975319,1006.804593,669.2709552,553.5568282,596.519242,471.4710291,1010.482387,1307.849171,1101.704272,1848.724985,1751.342292,1887.267528,2530.355176,2310.877172,2541.777068,2145.948274,3812.040427,3039.863562,2484.44944,4323.035967,3339.549976,2550.667089,4277.379844,3398.183799,3574.943482,4786.781466,3258.637959,2823.533801,2137.054201,2249.186634,1914.267785,3025.227787,2305.889661,2287.670398,3142.113435,2307.242832,2080.696148,2498.381135,1897.976586,1232.387635,1576.652611,1330.413553,1366.743939,1191.573147,1296.644814,802.0557604,590.0064301,1118.608353
66,Cre06.g289850,44.07985458,102.8492453,36.88247524,30.29702976,33.22847219,22.13518603,18.27031197,37.38716591,27.76125453,27.69002643,32.46221047,20.89425968,25.25426146,23.11706091,27.41706896,47.49419615,44.84268994,45.50865605,33.65730755,54.29773073,59.23629032,41.1251003,54.09431622,49.77296525,15.01659213,16.5310666,23.33112917,29.90567713,20.24313152,18.77929265,118.3328238,199.3327418,104.8231533,283.2536739,274.1763961,125.0352211,320.1189098,248.2216363,151.2777356,213.4976402,197.9402742,145.0352202,101.7501289,175.345232,123.5285462,46.81390315,38.20279941,57.27726544
67,Cre06.g293850,1070.540619,751.120597,929.0421854,968.960918,1088.146949,951.4262257,1115.683971,976.4836674,886.7271772,1023.91081,995.348197,799.3381941,949.9683329,821.2921838,680.937637,697.6409584,674.1467248,721.0295695,731.0067172,654.0374256,685.508022,732.5003162,681.6740886,687.8228241,938.743645,762.4985972,748.586141,1191.958244,772.2205787,1120.961719,1256.425647,1082.496936,1137.573573,1319.1865,1128.50696,1323.295655,1447.49834,1125.295511,1084.130322,1189.001158,1009.245316,979.8295403,1140.482956,804.8960276,784.6909716,1181.69544,1011.748369,984.6135392
68,Cre06.g293950,702.8261262,1072.264362,460.4187672,47.34676695,49.31240375,38.83501762,30.23806724,70.96321032,29.49710174,46.31088631,84.94048565,49.57257635,47.59464498,114.0299443,61.0811359,83.38259589,41.15813567,73.81295748,79.06095602,43.98319018,69.89993898,82.4003284,41.26612266,86.6841605,772.5320383,776.1734997,427.3821517,3637.190353,3487.864627,2231.00745,4262.223649,3664.228458,1863.817453,2075.51162,1953.188451,900.1697348,3772.543547,1917.764592,677.6855231,1483.651046,1098.842624,824.541357,1359.20192,1659.542415,791.5845591,185.0863842,160.9248626,207.6299742
69,Cre06.g294650,519.7673022,482.9835117,561.1642826,494.6519245,523.9684942,421.4466935,718.5807768,717.9402015,617.1180162,938.6234199,1014.479182,767.3042511,1241.642661,1196.762614,1024.119051,1233.17239,1569.965638,1527.005395,1518.576997,1707.090902,1587.912791,1531.98439,1567.939183,1573.190634,1438.905727,1498.790656,1256.774597,1179.109783,801.4111364,1128.173521,1931.120411,1508.474866,1808.005087,1355.178738,1149.726192,1279.426897,612.83527,636.8142003,545.7823197,530.2902599,471.9526397,414.0717799,588.6470534,495.6351312,440.76462,597.7867473,581.6725636,573.3124339
70,Cre06.g295450,346.5610443,218.6861236,251.7782571,191.2137203,282.373249,182.3974661,429.2130759,607.5873846,379.5658611,806.5489593,937.597252,696.6249392,1205.859712,1069.557608,950.3561169,933.2228065,989.2868311,1032.497686,861.0875447,1002.923713,914.8406962,782.2192892,1038.676894,872.0126601,907.2776608,997.7776759,981.0674284,367.8274944,346.2162389,648.3273053,561.374025,1123.187843,1474.041266,994.0173973,1146.464455,1298.565388,659.4964745,694.8577178,830.3756975,442.4245516,275.1869082,385.54974,543.5849096,183.2576712,343.9221479,387.2204201,356.878367,480.241179
71,Cre06.g298350,2646.236865,1472.338298,1773.63947,1461.093907,2307.330278,1108.744723,1300.760637,1591.891633,964.5119384,977.5201648,1299.436601,677.4485637,1004.456253,1114.539647,638.4628127,911.6852672,563.5264853,667.4432437,857.150028,552.7532518,633.888009,812.0497827,569.1134585,606.0688436,1312.912713,1021.053456,1440.639001,2229.725604,1515.521348,2540.408861,3736.340828,2165.171839,3851.835787,2695.360275,1904.213601,2962.231136,2553.447514,2228.327601,3301.370276,2970.003709,2752.302198,2804.34024,2822.175648,2258.355089,2209.819245,2051.83409,2184.314662,1590.885563
72,Cre06.g307500,977.1363537,164.6734165,130.5678526,181.8115507,339.0501639,141.5180774,1382.575227,2642.127885,1303.202303,5025.283645,6234.128973,4604.460198,8621.352835,9058.40603,7853.794084,8554.4909,17470.30523,11236.18254,8706.793455,18884.64862,12728.3793,11742.61582,24038.43247,14905.36636,55072.53598,85317.19501,38175.43182,37778.45117,44232.4069,30277.77784,21109.36161,28444.99126,15757.07158,16924.81328,21222.91277,12978.12868,7732.410023,7755.713403,4918.220034,1383.012029,2849.384578,1384.886329,2768.811865,384.3880027,1455.753503,57.44182562,75.21295871,38.73460212
73,Cre06.g309000,13.51042735,19.27532253,20.43982643,5.165302331,4.335151805,15.96054462,6.371194233,9.438997825,11.4559437,5.839824654,10.66668696,19.52673369,32.92592971,16.04440288,26.55766025,39.0469118,333.4117833,74.87821921,35.31950476,526.9744516,112.3076607,129.0200695,1187.087189,234.4767309,9760.46526,28522.75748,7723.031047,10189.38332,15488.64701,4479.519405,8672.419905,14640.12278,3275.348519,12555.31153,16223.61074,3664.957634,12573.83278,12821.69374,2986.338444,2756.435347,7314.393766,2014.052622,94.96182921,376.5427297,452.6934754,13.79519307,7.262813723,14.57467348
74,Cre07.g321400,879.0849358,755.3092669,1110.074982,1024.076793,1047.783802,1000.548327,1600.135542,1547.244571,1725.320623,2292.204449,2389.811083,4021.183068,1533.288167,2860.582879,5678.936661,2239.838492,1406.979718,2169.152007,4915.914389,2668.404044,3568.01542,4523.30969,3268.547738,3275.14002,2202.843796,2286.518743,2408.507922,2602.474308,1088.508734,1621.023479,547.4247788,283.8603987,396.2994313,376.1790462,200.5340769,309.7900009,303.534942,173.296944,313.3601744,284.91679,259.1118264,328.2504035,245.1144678,225.2875571,481.360051,443.544475,506.3289351,336.5583232
75,Cre07.g328200,471.5194315,137.2122219,231.3929893,77.89870271,169.0224871,49.75369445,176.8322077,247.5368294,133.8219575,201.2268806,298.4151472,159.9524171,261.7910535,305.3140515,161.9266327,292.6192645,254.3480837,234.6247323,284.8413329,236.1270082,206.6685695,217.338541,240.889341,210.5080359,594.0399524,321.6859895,499.3116842,859.6247213,440.6309682,891.2678504,1785.762513,1188.631293,2027.102582,1174.999712,831.5313914,1243.780615,546.7265061,414.0513328,445.6841533,331.3668115,259.2912992,203.2924565,335.9410199,199.2355987,242.1246077,52.29739353,168.8455968,26.05641941
76,Cre07.g330250,6852.409948,4599.13097,7942.438724,1623.883169,2438.885791,1390.4396,1414.043415,2035.727961,892.8801701,1915.344851,2733.350129,1166.846347,2680.428859,3189.357731,1634.53864,3169.622384,3052.992457,2696.045005,3567.776904,3147.805506,2341.241707,3861.669322,3481.254704,2281.435614,6002.220994,5004.94679,5845.788231,5403.783112,2652.066702,4859.929894,17361.02128,11156.65714,20436.12135,19551.65962,15296.50391,22948.70615,16736.12852,13219.68592,20251.3415,12714.49413,10346.53931,11409.29269,9366.178062,6283.14625,8432.149003,7106.47548,6685.055046,5565.336104
77,Cre07.g339750,20.55762651,14.1643363,9.9569365,50.45239382,50.17348418,43.48857472,78.35084655,68.29858585,69.76430063,91.0225493,94.06021533,153.8153015,112.9683623,127.0002408,188.6126969,104.1419122,118.9958366,119.3259192,164.4589466,183.854931,171.9796545,205.806969,245.2635099,262.1338025,705.5974555,1245.56832,914.1059389,409.4657611,290.5266549,454.1466503,132.358046,165.5320954,208.0978105,105.7723807,96.55984546,112.1826101,62.18916662,101.9916767,106.4739966,31.81641922,31.55065162,63.12298653,71.71100824,53.93399024,75.12076715,16.98810653,15.46834447,12.58876753
